gene,CerD1,CerD2,CerD3,CerW1,CerW2,CerW3,CocD1,CocD2,CocD3,CocW1,CocW2,CocW3,NigD1,NigD2,NigD3,NigW1,NigW2,NigW3,PenD1,PenD2,PenD3,PenW1,PenW2,PenW3,SorD1,SorD2,SorD3,SorW1,SorW2,SorW3
PhHAL.7G340900,-0.055467992,-0.533876331,0.315243996,-0.531407159,-1.40412824,-1.676156973,3.476522767,0.770053658,1.418919865,1.706431665,1.342919187,0.494354788,-0.254839718,-1.963808248,1.090185817,-0.182398782,-0.576053378,-0.126661525,-1.069586501,-0.442259943,-1.10887984,-1.467017123,-0.860336015,-2.787542237,1.292447625,3.009596389,2.707632331,1.563188369,1.116604631,1.051520425
PhHAL.7G153000,0.375662492,0.157529426,0.59513111,-0.30148324,-0.289562098,-0.362018304,1.672952671,0.716742465,1.264817454,0.816860189,0.497804038,0.808973615,-1.297328342,-4.250163223,-0.142676207,-0.323117757,-0.275631123,-1.368082284,0.023606272,0.116389804,-0.838800707,-1.018051212,-0.006859603,-4.778655406,1.284259506,2.884530048,2.525058556,0.231815634,0.010557387,0.089364571
PhHAL.5G461200,0.725932123,0.48017066,1.770014512,0.677092505,1.17159172,-1.995151305,2.133419618,0.325635371,0.716646545,1.627333256,1.322706782,0.05286131,-2.380811158,-0.64102718,0.294114394,-1.184236889,-1.110488133,0.2242332,1.749588128,1.486544326,0.938811166,-1.648910437,-1.207964445,-3.31239169,1.155198371,2.68646863,3.0897678,1.210015648,1.278156438,1.662922081
PhHAL.4G056700,-0.253510395,-1.500933586,0.545213897,-1.215250392,-1.340590227,-1.762201984,0.828497335,0.637673728,-0.001076874,2.067438654,0.429698009,-0.220944093,-0.003543369,0.934577621,-1.631599624,-1.2112128,-0.450222972,-1.158025359,-0.401910878,1.164123477,1.232018095,0.358452524,0.430882329,2.396844121,2.131408991,-1.053966298,2.020294475,1.534143998,1.5465657,1.693308116
PhHAL.5G216700,1.25586516,0.675919841,2.768265123,1.662032115,1.032116797,0.760490726,1.806847464,1.212778929,0.736435787,1.785215333,1.453493424,0.521165396,-1.810716089,-2.460789878,-0.238782751,-0.587388664,-0.31396852,-2.980566405,1.37416344,1.374935089,2.081097762,-1.215933436,0.051775421,-6.237524204,1.280025712,1.431228359,3.220941424,2.727420188,2.398919162,2.308509783
PhHAL.2G387400,0.614836732,-1.301714941,0.260994445,-2.435668518,-2.527425568,-3.716248702,1.929859291,0.564853849,0.730551787,-0.724418004,-1.259073661,-1.223312202,-0.867016811,-1.704670598,2.478322557,-1.073896226,-0.240516766,-0.428089721,-0.369457896,-0.495498898,-0.180581024,-2.277738503,-1.632423353,-7.292758747,1.773212169,3.63975698,4.119837935,-1.097151298,-2.01225149,-1.617592062
PhHAL.3G454400,-0.032627971,-0.032627971,-0.001175181,0,0,0,0.094614242,-0.032627971,-0.032627971,0,0.038658258,0,0.231537305,-0.032627971,-0.032627971,0,0,0,0.072975556,0.07262756,-0.032627971,0,0,0,0.013065492,-0.032627971,0.045506761,0,0.022359858,0.106558443
PhHAL.3G454500,0.449632931,0.093935967,0.932272901,0.328448773,0.332655338,0.054078006,0.174285535,0.158979177,0.114654084,-0.680747784,-0.348574531,-0.952676661,0.051372976,-1.6962733,0.445850002,-0.903332831,-0.641799188,-1.319331919,-0.125348977,0.539490368,0.948963543,-1.249417567,-0.617286242,0.359398937,0.494862038,0.426715379,0.727236801,-0.235019753,-0.114324009,0.082611715
PhHAL.1G368300,0.244565332,-0.103399304,0.842331085,0.067435605,0.031048906,-0.578674574,0.514047898,0.334419813,0.189353343,-0.117284356,0.195613328,-0.097859888,-0.241830993,-0.874668666,-0.065180612,-0.634783654,-0.276914493,-0.47031161,0.161788573,-0.181767166,-0.126103744,-0.894221733,-0.075195612,-1.475050286,-0.325187695,1.618283887,1.345131188,0.184385683,-0.349643841,-0.212352548
PhHAL.3G168400,0,0,0,0,0,0,0,5.149084547,0,1.095958167,0,3.341891841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.039340217,1.297373393,0,0
PhHAL.3G168500,-0.333036065,-0.581912991,0.103406432,0.017647343,0.136093797,-0.566845546,1.402341806,1.162412127,1.258722279,1.450435609,1.057160248,0.618531897,-1.56711058,-2.067494616,-0.405836102,0.19262393,-0.138472436,-0.177168539,-0.281158124,-0.219479467,-0.27929723,-1.193300508,-1.020072237,-3.30621411,1.78853064,1.652713787,2.621242884,1.661623111,1.848737632,1.672919516
PhHAL.5G209200,-0.008791431,-0.020959035,1.092251188,0.245845108,0.217236854,0.079320826,1.278594997,1.409017017,0.925573697,1.253484105,1.369415565,0.574754589,-0.448019427,-1.513371148,-0.296531408,-1.337890434,-0.573444124,-1.306533889,-0.296295568,-0.052848739,0.063716832,-1.048992775,-0.883792843,-1.716230033,0.947229891,1.684377893,2.10583055,1.92910272,1.557236622,1.478219539
PhHAL.9G069200,1.030253498,0.491277276,2.236943312,1.615714153,0.656480814,1.447531147,0.705039134,0.589925176,-0.342503814,0.841450488,0.193916091,-0.209738328,-1.285063724,-1.504804097,-0.454427781,-0.425278204,0.067808085,-0.62015377,0.921396239,0.8621643,0.986081749,-0.510972713,-0.269783348,-1.593804717,0.818179665,1.569315953,2.26555983,1.638149867,1.651292339,1.518421667
PhHAL.9G144900,0.205605876,0.759993268,2.247921192,0.748998462,0.610455375,1.185940999,0.934859686,-0.753649233,0.711923399,0.887269556,1.700572307,-0.424788889,-1.122371973,-0.627459431,-0.01429036,-0.030836702,0.368472216,-1.894546767,0.323548936,0.880418404,0.720519501,-1.024197504,-0.398520868,2.976891853,1.681779768,2.191516857,1.016352326,1.5426104,1.842457164,1.56670082
PhHAL.9G480900,2.144637611,1.340702151,3.046663647,1.079618205,0.444212292,0.072320541,2.738302001,2.084736436,1.968970907,0.791620896,0.838882079,0.569915411,-0.287451453,-0.185511054,1.060230682,-1.090435635,-0.772518048,0.655728888,2.022492856,2.189026702,2.555972776,-1.442130274,-0.198902952,-3.149738992,2.290679077,2.32134262,3.381982833,2.067526628,1.647725406,1.645378556
PhHAL.9G481000,0.146636442,0.572690341,0.437157639,1.010658295,-0.183353931,0.409061974,-0.430978637,-0.156130966,0.03938513,-0.065664677,0.432605298,-0.572061477,-0.56609133,-1.227557288,-1.227557288,1.535224658,1.230317882,1.187026162,-0.68537156,0.272847077,0.301688964,0.269253929,0.348118995,-0.572061477,-0.38022257,-0.662754788,-0.546075638,0.378100075,0.709529957,0.935606327
PhHAL.2G252700,0.1496466,0.508864093,0.813061315,0.393180329,0.13164839,0.025163628,0.493224077,0.160327126,-0.022125819,0.267843536,0.53073199,0.216885358,-0.246067319,-0.308776354,-0.308776354,-0.187040938,-0.318070472,0.013750453,0.085499606,0.093273427,0.629204492,-0.44941071,-0.287742849,-0.568839269,0.536488067,0.715039642,1.243910571,0.824274851,0.914912029,1.088430298
PhHAL.3G263300,-0.003778265,-0.138296669,0.106139026,-0.477674443,-0.301472484,-0.999449345,1.051504258,1.422060492,1.513784063,0.982155631,0.008866023,0.352340007,-0.877229717,-0.756817953,-0.496400718,-0.849473698,-0.820271363,-1.417158226,0.116977184,0.136872229,0.645638254,-0.872767598,-0.404921674,-4.637198684,1.326599718,1.830056342,2.390776406,0.79619814,0.676362813,0.672697797
PhHAL.5G344500,0.171214287,0.354366878,0.862560599,0.291248337,1.046908177,0.272824273,1.434424315,0.583307478,0.549609694,1.250532748,0.928524745,0.665825566,-0.575883361,-0.385537869,0.160025004,-0.648499881,0.26481978,-0.125753236,-0.094915819,0.021271724,0.420490149,-1.150903161,0.018194256,2.520087395,0.713907815,0.773390772,1.683220627,1.185520542,0.878350208,0.88919701
PhHAL.1G290500,0.305039149,0.801501974,0.950357112,0.13167053,-0.401202864,0.362266588,1.264811232,1.085840119,0.957639541,0.776951176,1.268369171,0.867771048,-0.413884603,-0.895083792,-0.463395792,1.369949496,0.987776519,0.930933855,-0.320241975,0.451345102,-0.50652288,-1.283510763,-1.043152137,-1.911141879,1.644636035,1.928807144,1.391912942,1.422586678,1.52950873,1.658847362
PhHAL.5G276800,-0.124521213,-0.285727829,0.328013679,0.779485256,1.230894404,0.942704631,0.784124081,0.826869761,0.218599121,1.486454207,1.232870935,0.34327925,0.172547777,-1.701686556,0.401525706,0.472526599,0.592155887,0.137941058,-0.295590761,0.095098064,-1.701686556,-0.207732152,0.440885504,-1.255019251,1.212866488,1.759252547,1.429690558,1.564452745,1.097784464,1.457288182
